mxy,mt,Deff,R2,AIC,sigma
5,17,7.033796677855707,0.5810484394299114,-5157.071610248154,0.036149512541153984
5,18,7.176073369255039,0.5868136599069982,-5132.69538122122,0.034978874777443054
5,19,7.329102057525911,0.5902625964323283,-5103.437622746155,0.03447015057143095
5,20,7.48048843492102,0.5939640740847575,-4994.667916320862,0.034185829862740144
6,2,5.414504207346869e-08,0.4416729196618676,-41821.798425424095,1.282628858760067e-09
6,3,1.1227265010809302,0.4821463505401462,-9644.210723011178,0.02035716088096188
6,4,6.5657981322388554,0.5973735734167798,-6359.816784347204,0.08286339639128482
6,5,7.630723597589263,0.6482118930630943,-5870.364387125563,0.06128434883736282
6,6,7.665991317418539,0.6326910706619213,-5503.089334086604,0.06265219752099296
6,7,7.427539186656009,0.6084993656622807,-5238.853946358502,0.062286501025527755
6,8,7.14513375607305,0.5845664119300895,-4998.202358387906,0.05409024541088987
6,9,6.986756216481067,0.5633923455075884,-4804.053388359746,0.051333451901539685
6,10,6.924828382362637,0.549670014218959,-4624.980412641332,0.05229171890749587
6,11,6.889413558134012,0.5407549964307814,-4534.583148386177,0.05339264152833379
6,12,6.865978771261765,0.541231075027717,-4419.609393752893,0.05254907485546437
6,13,6.8421760546650034,0.545448491217221,-4396.076623519975,0.04989792884100705
6,14,6.850681907492268,0.5575438727185051,-4328.2044724143325,0.045297960092140564
6,15,6.893945333642176,0.5687358803379479,-4328.209871384895,0.041088200129610994
6,16,6.988604541771974,0.5814097781593499,-4248.113061491671,0.03760429770371966
6,17,7.105578665572057,0.5894598477405457,-4231.1188210369255,0.03549182408314825
6,18,7.243927327194401,0.5950491159337457,-4206.173080592092,0.034317237052025995
6,19,7.39261846005044,0.5983275271475941,-4176.330357375662,0.033782758861114856
6,20,7.539637639114858,0.6019201448325187,-4067.136677036954,0.033458144095314404
7,2,5.558189031625007e-08,0.449382004060933,-41097.57021140443,1.262008050883528e-09
7,3,1.149269768896346,0.48864983635845016,-8914.219704147928,0.019954925181817754
7,4,6.704353227644087,0.6032409143528554,-5627.9001743514855,0.08071618715417771
7,5,7.766292656059913,0.652583109750943,-5134.516297081672,0.06005648652243414
7,6,7.79163733051795,0.6371077536821527,-4764.723843573254,0.06164368581720504
7,7,7.549984776188951,0.6134203728348914,-4497.8514591309095,0.06119979555234014
7,8,7.267828056590261,0.5899793910069902,-4254.512529598911,0.053381910381474496
7,9,7.109111547625753,0.5691824212656315,-4058.5869351157266,0.05087577706941497
7,10,7.046121138515643,0.5557314867036669,-3878.4198142136242,0.051852166973114906
7,11,7.009552879950916,0.547029279591267,-3787.115977172618,0.05289908107716479
7,12,6.9849523760454515,0.547616949674021,-3671.2041765450886,0.05200665819204285
7,13,6.960099579324705,0.5518556266371594,-3646.5597868517916,0.04935465693075197
7,14,6.967255322903709,0.563800202631304,-3577.390453131246,0.044814471702425945
7,15,7.008823909962162,0.5747307557696496,-3575.9991596486902,0.04068128394741092
7,16,7.101340894700985,0.5870643309194772,-3494.5850267101696,0.03726576011873243
7,17,7.215819398491578,0.5947702453308548,-3476.3302138343984,0.03519354868953533
7,18,7.351362790386853,0.6000366279441358,-3450.2513314516905,0.03403342318902624
7,19,7.497020805257752,0.6030323069030457,-3419.396382620007,0.03349606862249332
7,20,7.641092954028805,0.6064159230423221,-3309.3755226813714,0.03315935285100705
8,2,5.747213784673905e-08,0.45953355701739296,-40450.25739837468,1.2347893636910491e-09
8,3,1.1842492256081398,0.49721744347180297,-8259.786959334435,0.019421595051955537
